Year,Month,State,Sale_RES,Sale_COM,Sale_IND,Sale_OTH,Sale_ALL,Price_RES,Price_COM,Price_IND,Price_OTH,Price_ALL,Rev_RES,Rev_COM,Rev_IND,Rev_OTH,Rev_ALL,Cus_RES,Cus_COM,Cus_IND,Cus_OTH,Cus_ALL,Heating_deg_days,Cooling_deg_days,Pop,Income,UR,GSP,CPI,Regions,Year-Month,Sale_ALL_no_OTH
1990,1,AK,181.75,178.26,41.61,14.82,416.44,9.62,8.87,8.74,12.95,9.33,17.48,15.82,3.64,1.92,38.85,196084.0,31721.0,338.0,8886.0,237029.0,,,551.52,12776.9,7.2,24987.0,132.0,Pacific Noncontiguous ,1990-01-01,401.62
1990,1,AL,2070.09,820.42,2099.55,53.95,5044.01,5.96,6.64,4.18,5.28,5.32,123.33,54.5,87.76,2.85,268.44,1639685.0,229488.0,9341.0,14910.0,1893424.0,517.0,21.0,4036.801,64029.4,6.7,71085.0,132.0,East South Central ,1990-01-01,4990.06
1990,1,AR,1026.32,474.99,782.49,47.6,2331.4,7.06,6.52,4.73,6.55,6.16,72.51,30.97,37.05,3.12,143.64,993402.0,110537.0,23863.0,15633.0,1143435.0,620.0,5.0,2347.535,34283.2,6.7,38109.0,132.0,West South Central ,1990-01-01,2283.8
1990,1,AZ,1396.5,1081.79,809.8,151.06,3439.15,7.83,7.64,5.34,5.19,7.07,109.33,82.69,43.27,7.83,243.13,1419578.0,159743.0,5461.0,21278.0,1606060.0,523.0,0.0,3668.417,63546.7,5.2,69322.0,132.0,Mountain ,1990-01-01,3288.09
1990,1,CA,6168.01,6011.77,4454.66,869.56,17504.01,9.68,8.46,6.03,3.69,8.04,597.16,508.52,268.76,32.1,1406.54,10493065.0,1383600.0,37864.0,47706.0,11962235.0,552.0,0.0,29863.502,640724.9,5.2,788322.0,132.0,Pacific Contiguous ,1990-01-01,16634.440000000002
1990,1,CO,1046.8,1158.96,545.39,58.78,2809.94,6.81,5.62,4.49,6.9,5.87,71.32,65.13,24.49,4.05,165.0,1392215.0,198584.0,1845.0,20092.0,1612736.0,1144.0,0.0,3294.308,65348.5,5.4,74206.0,132.0,Mountain ,1990-01-01,2751.15
1990,1,CT,1189.72,957.85,488.53,35.35,2671.44,9.42,8.65,7.37,11.48,8.8,112.08,82.88,36.0,4.06,235.02,1301859.0,125530.0,4734.0,4704.0,1436827.0,932.0,0.0,3279.545,86879.2,4.8,98976.0,132.0,New England ,1990-01-01,2636.1
1990,1,DC,168.77,447.25,237.96,29.48,883.46,5.62,5.26,4.0,5.43,5.0,9.48,23.53,9.52,1.6,44.13,191969.0,26537.0,164.0,36.0,218706.0,758.0,0.0,602.068,15743.5,5.3,,132.0,South Atlantic ,1990-01-01,853.98
1990,1,DE,313.56,216.55,251.25,4.44,785.79,7.36,6.12,4.35,9.53,6.07,23.08,13.25,10.92,0.42,47.68,282827.0,30883.0,618.0,756.0,315084.0,759.0,0.0,667.128,14301.5,3.7,20118.0,132.0,South Atlantic ,1990-01-01,781.3599999999999
1990,1,FL,6443.54,3758.27,1318.9,322.47,11843.18,7.68,6.74,5.01,6.84,7.06,495.13,253.3,66.14,22.06,836.62,5849276.0,705021.0,22933.0,86500.0,6663730.0,130.0,153.0,12980.719,256748.4,5.7,257242.0,132.0,South Atlantic ,1990-01-01,11520.710000000001
