CPI,Year,Month
126.4,1989,1
126.9,1989,2
127.6,1989,3
128.0,1989,4
128.3,1989,5
128.5,1989,6
129.0,1989,7
129.3,1989,8
130.0,1989,9
130.9,1989,10
131.3,1989,11
131.5,1989,12
132.0,1990,1
132.8,1990,2
133.9,1990,3
134.2,1990,4
134.4,1990,5
134.8,1990,6
135.5,1990,7
136.4,1990,8
137.2,1990,9
137.8,1990,10
138.2,1990,11
138.3,1990,12
139.4,1991,1
140.3,1991,2
140.9,1991,3
141.1,1991,4
141.3,1991,5
141.5,1991,6
142.0,1991,7
142.7,1991,8
143.4,1991,9
143.9,1991,10
144.4,1991,11
144.4,1991,12
144.9,1992,1
145.6,1992,2
146.4,1992,3
146.6,1992,4
146.7,1992,5
146.9,1992,6
147.3,1992,7
147.7,1992,8
148.1,1992,9
149.0,1992,10
149.3,1992,11
149.2,1992,12
149.9,1993,1
150.8,1993,2
151.4,1993,3
151.7,1993,4
151.7,1993,5
151.8,1993,6
152.0,1993,7
152.6,1993,8
152.9,1993,9
153.5,1993,10
153.9,1993,11
153.9,1993,12
154.3,1994,1
155.0,1994,2
155.8,1994,3
155.9,1994,4
156.0,1994,5
156.2,1994,6
156.4,1994,7
157.0,1994,8
157.5,1994,9
158.0,1994,10
158.2,1994,11
157.9,1994,12
158.7,1995,1
159.6,1995,2
160.4,1995,3
160.7,1995,4
160.8,1995,5
160.9,1995,6
161.1,1995,7
161.6,1995,8
162.1,1995,9
162.8,1995,10
163.0,1995,11
162.7,1995,12
163.4,1996,1
164.2,1996,2
164.9,1996,3
165.0,1996,4
165.1,1996,5
165.2,1996,6
165.5,1996,7
165.8,1996,8
166.4,1996,9
167.0,1996,10
167.2,1996,11
167.0,1996,12
167.5,1997,1
168.3,1997,2
169.0,1997,3
169.4,1997,4
169.3,1997,5
169.2,1997,6
169.5,1997,7
169.6,1997,8
170.0,1997,9
170.8,1997,10
170.8,1997,11
170.7,1997,12
171.2,1998,1
172.1,1998,2
172.6,1998,3
173.0,1998,4
173.1,1998,5
173.0,1998,6
173.3,1998,7
173.8,1998,8
174.2,1998,9
174.7,1998,10
174.8,1998,11
174.8,1998,12
175.3,1999,1
175.7,1999,2
176.2,1999,3
176.8,1999,4
176.6,1999,5
176.6,1999,6
176.9,1999,7
177.1,1999,8
177.7,1999,9
178.3,1999,10
178.4,1999,11
178.2,1999,12
178.8,2000,1
179.5,2000,2
180.5,2000,3
180.9,2000,4
180.9,2000,5
181.0,2000,6
181.3,2000,7
181.7,2000,8
182.3,2000,9
182.8,2000,10
183.0,2000,11
182.8,2000,12
183.5,2001,1
184.4,2001,2
185.3,2001,3
185.6,2001,4
185.5,2001,5
185.9,2001,6
186.2,2001,7
186.6,2001,8
187.1,2001,9
187.6,2001,10
188.1,2001,11
187.8,2001,12
188.2,2002,1
189.2,2002,2
189.8,2002,3
190.3,2002,4
190.2,2002,5
190.1,2002,6
190.3,2002,7
191.0,2002,8
191.3,2002,9
191.8,2002,10
191.8,2002,11
191.4,2002,12
191.8,2003,1
192.5,2003,2
193.0,2003,3
193.1,2003,4
193.2,2003,5
193.0,2003,6
193.2,2003,7
193.5,2003,8
193.6,2003,9
194.3,2003,10
193.9,2003,11
193.6,2003,12
194.0,2004,1
194.9,2004,2
196.1,2004,3
196.5,2004,4
196.5,2004,5
196.6,2004,6
196.6,2004,7
196.8,2004,8
197.4,2004,9
198.2,2004,10
198.1,2004,11
197.8,2004,12
198.4,2005,1
199.5,2005,2
200.7,2005,3
200.9,2005,4
200.8,2005,5
200.6,2005,6
200.8,2005,7
201.0,2005,8
201.3,2005,9
202.3,2005,10
202.3,2005,11
202.1,2005,12
202.6,2006,1
203.6,2006,2
204.9,2006,3
205.5,2006,4
205.7,2006,5
205.9,2006,6
206.2,2006,7
206.7,2006,8
207.2,2006,9
207.8,2006,10
207.6,2006,11
207.3,2006,12
208.009,2007,1
209.112,2007,2
209.923,2007,3
210.311,2007,4
210.316,2007,5
210.474,2007,6
210.756,2007,7
211.111,2007,8
211.628,2007,9
212.318,2007,10
212.435,2007,11
212.356,2007,12
213.138,2008,1
213.866,2008,2
214.866,2008,3
215.05900000000003,2008,4
215.18,2008,5
215.553,2008,6
216.045,2008,7
216.476,2008,8
216.862,2008,9
217.023,2008,10
216.69,2008,11
216.1,2008,12
216.719,2009,1
217.685,2009,2
218.639,2009,3
219.143,2009,4
219.128,2009,5
219.283,2009,6
219.35,2009,7
219.596,2009,8
220.137,2009,9
220.731,2009,10
220.384,2009,11
220.025,2009,12
220.086,2010,1
220.602,2010,2
221.05900000000003,2010,3
221.166,2010,4
221.193,2010,5
221.265,2010,6
221.258,2010,7
221.551,2010,8
221.907,2010,9
222.079,2010,10
222.077,2010,11
221.795,2010,12
222.177,2011,1
223.011,2011,2
223.69,2011,3
224.118,2011,4
224.534,2011,5
224.891,2011,6
225.164,2011,7
225.874,2011,8
226.289,2011,9
226.743,2011,10
226.859,2011,11
226.74,2011,12
227.237,2012,1
227.865,2012,2
228.735,2012,3
229.303,2012,4
229.602,2012,5
229.879,2012,6
229.893,2012,7
230.196,2012,8
230.78,2012,9
231.276,2012,10
231.263,2012,11
231.033,2012,12
