Year,Month,State,Cus_RES,Cus_COM,Cus_IND,Cus_OTH,Cus_ALL
1990,1,AK,196084,31721,338,8886,237029
1990,2,AK,196084,31721,338,8886,237029
1990,3,AK,196084,31721,338,8886,237029
1990,4,AK,196084,31721,338,8886,237029
1990,5,AK,196084,31721,338,8886,237029
1990,6,AK,196084,31721,338,8886,237029
1990,7,AK,196084,31721,338,8886,237029
1990,8,AK,196084,31721,338,8886,237029
1990,9,AK,196084,31721,338,8886,237029
1990,10,AK,196084,31721,338,8886,237029
1990,11,AK,196084,31721,338,8886,237029
1990,12,AK,196084,31721,338,8886,237029
1990,1,AL,1639685,229488,9341,14910,1893424
1990,2,AL,1639685,229488,9341,14910,1893424
1990,3,AL,1639685,229488,9341,14910,1893424
1990,4,AL,1639685,229488,9341,14910,1893424
1990,5,AL,1639685,229488,9341,14910,1893424
1990,6,AL,1639685,229488,9341,14910,1893424
1990,7,AL,1639685,229488,9341,14910,1893424
1990,8,AL,1639685,229488,9341,14910,1893424
1990,9,AL,1639685,229488,9341,14910,1893424
1990,10,AL,1639685,229488,9341,14910,1893424
1990,11,AL,1639685,229488,9341,14910,1893424
1990,12,AL,1639685,229488,9341,14910,1893424
1990,1,AR,993402,110537,23863,15633,1143435
1990,2,AR,993402,110537,23863,15633,1143435
1990,3,AR,993402,110537,23863,15633,1143435
1990,4,AR,993402,110537,23863,15633,1143435
1990,5,AR,993402,110537,23863,15633,1143435
1990,6,AR,993402,110537,23863,15633,1143435
1990,7,AR,993402,110537,23863,15633,1143435
1990,8,AR,993402,110537,23863,15633,1143435
1990,9,AR,993402,110537,23863,15633,1143435
1990,10,AR,993402,110537,23863,15633,1143435
1990,11,AR,993402,110537,23863,15633,1143435
1990,12,AR,993402,110537,23863,15633,1143435
1990,1,AZ,1419578,159743,5461,21278,1606060
1990,2,AZ,1419578,159743,5461,21278,1606060
1990,3,AZ,1419578,159743,5461,21278,1606060
1990,4,AZ,1419578,159743,5461,21278,1606060
1990,5,AZ,1419578,159743,5461,21278,1606060
1990,6,AZ,1419578,159743,5461,21278,1606060
1990,7,AZ,1419578,159743,5461,21278,1606060
1990,8,AZ,1419578,159743,5461,21278,1606060
1990,9,AZ,1419578,159743,5461,21278,1606060
1990,10,AZ,1419578,159743,5461,21278,1606060
1990,11,AZ,1419578,159743,5461,21278,1606060
1990,12,AZ,1419578,159743,5461,21278,1606060
1990,1,CA,10493065,1383600,37864,47706,11962235
