Year,Month,State,RES,COM,IND,TRA,OTH,ALL
1990,1,AK,"196,084","31,721",338,,"8,886","237,029"
1990,2,AK,"196,084","31,721",338,,"8,886","237,029"
1990,3,AK,"196,084","31,721",338,,"8,886","237,029"
1990,4,AK,"196,084","31,721",338,,"8,886","237,029"
1990,5,AK,"196,084","31,721",338,,"8,886","237,029"
1990,6,AK,"196,084","31,721",338,,"8,886","237,029"
1990,7,AK,"196,084","31,721",338,,"8,886","237,029"
1990,8,AK,"196,084","31,721",338,,"8,886","237,029"
1990,9,AK,"196,084","31,721",338,,"8,886","237,029"
1990,10,AK,"196,084","31,721",338,,"8,886","237,029"
1990,11,AK,"196,084","31,721",338,,"8,886","237,029"
1990,12,AK,"196,084","31,721",338,,"8,886","237,029"
1990,1,AL,"1,639,685","229,488","9,341",,"14,910","1,893,424"
1990,2,AL,"1,639,685","229,488","9,341",,"14,910","1,893,424"
1990,3,AL,"1,639,685","229,488","9,341",,"14,910","1,893,424"
1990,4,AL,"1,639,685","229,488","9,341",,"14,910","1,893,424"
1990,5,AL,"1,639,685","229,488","9,341",,"14,910","1,893,424"
1990,6,AL,"1,639,685","229,488","9,341",,"14,910","1,893,424"
1990,7,AL,"1,639,685","229,488","9,341",,"14,910","1,893,424"
1990,8,AL,"1,639,685","229,488","9,341",,"14,910","1,893,424"
1990,9,AL,"1,639,685","229,488","9,341",,"14,910","1,893,424"
1990,10,AL,"1,639,685","229,488","9,341",,"14,910","1,893,424"
1990,11,AL,"1,639,685","229,488","9,341",,"14,910","1,893,424"
1990,12,AL,"1,639,685","229,488","9,341",,"14,910","1,893,424"
1990,1,AR,"993,402","110,537","23,863",,"15,633","1,143,435"
1990,2,AR,"993,402","110,537","23,863",,"15,633","1,143,435"
1990,3,AR,"993,402","110,537","23,863",,"15,633","1,143,435"
1990,4,AR,"993,402","110,537","23,863",,"15,633","1,143,435"
1990,5,AR,"993,402","110,537","23,863",,"15,633","1,143,435"
1990,6,AR,"993,402","110,537","23,863",,"15,633","1,143,435"
1990,7,AR,"993,402","110,537","23,863",,"15,633","1,143,435"
1990,8,AR,"993,402","110,537","23,863",,"15,633","1,143,435"
1990,9,AR,"993,402","110,537","23,863",,"15,633","1,143,435"
1990,10,AR,"993,402","110,537","23,863",,"15,633","1,143,435"
1990,11,AR,"993,402","110,537","23,863",,"15,633","1,143,435"
1990,12,AR,"993,402","110,537","23,863",,"15,633","1,143,435"
