GSP,State,Year,Month
23357,AK,1989,1
23357,AK,1989,2
23357,AK,1989,3
23357,AK,1989,4
23357,AK,1989,5
23357,AK,1989,6
23357,AK,1989,7
23357,AK,1989,8
23357,AK,1989,9
23357,AK,1989,10
23357,AK,1989,11
23357,AK,1989,12
24987,AK,1990,1
24987,AK,1990,2
24987,AK,1990,3
24987,AK,1990,4
24987,AK,1990,5
24987,AK,1990,6
24987,AK,1990,7
24987,AK,1990,8
24987,AK,1990,9
24987,AK,1990,10
24987,AK,1990,11
24987,AK,1990,12
22164,AK,1991,1
22164,AK,1991,2
22164,AK,1991,3
22164,AK,1991,4
22164,AK,1991,5
22164,AK,1991,6
22164,AK,1991,7
22164,AK,1991,8
22164,AK,1991,9
22164,AK,1991,10
22164,AK,1991,11
22164,AK,1991,12
22591,AK,1992,1
22591,AK,1992,2
22591,AK,1992,3
22591,AK,1992,4
22591,AK,1992,5
22591,AK,1992,6
22591,AK,1992,7
22591,AK,1992,8
22591,AK,1992,9
22591,AK,1992,10
22591,AK,1992,11
22591,AK,1992,12
22965,AK,1993,1
22965,AK,1993,2
22965,AK,1993,3
22965,AK,1993,4
22965,AK,1993,5
22965,AK,1993,6
22965,AK,1993,7
22965,AK,1993,8
22965,AK,1993,9
22965,AK,1993,10
22965,AK,1993,11
22965,AK,1993,12
23110,AK,1994,1
23110,AK,1994,2
23110,AK,1994,3
23110,AK,1994,4
23110,AK,1994,5
23110,AK,1994,6
23110,AK,1994,7
23110,AK,1994,8
23110,AK,1994,9
23110,AK,1994,10
23110,AK,1994,11
23110,AK,1994,12
24805,AK,1995,1
24805,AK,1995,2
24805,AK,1995,3
24805,AK,1995,4
24805,AK,1995,5
24805,AK,1995,6
24805,AK,1995,7
24805,AK,1995,8
24805,AK,1995,9
24805,AK,1995,10
24805,AK,1995,11
24805,AK,1995,12
26083,AK,1996,1
26083,AK,1996,2
26083,AK,1996,3
26083,AK,1996,4
26083,AK,1996,5
26083,AK,1996,6
26083,AK,1996,7
26083,AK,1996,8
26083,AK,1996,9
26083,AK,1996,10
26083,AK,1996,11
26083,AK,1996,12
25171,AK,1997,1
25171,AK,1997,2
25171,AK,1997,3
25171,AK,1997,4
