Year	Month	State	Price_RES	Price_COM	Price_IND	Price_OTH	Price_ALL
1990	1	AK	9.62	8.87	8.74	12.95	9.33
1990	1	AL	5.96	6.64	4.18	5.28	5.32
1990	1	AR	7.06	6.52	4.73	6.55	6.16
1990	1	AZ	7.83	7.64	5.34	5.19	7.07
1990	1	CA	9.68	8.46	6.03	3.69	8.04
1990	1	CO	6.81	5.62	4.49	6.9	5.87
1990	1	CT	9.42	8.65	7.37	11.48	8.8
1990	1	DC	5.62	5.26	4	5.43	5
1990	1	DE	7.36	6.12	4.35	9.53	6.07
1990	1	FL	7.68	6.74	5.01	6.84	7.06
1990	1	GA	6.55	6.99	4.55	7.63	6.08
1990	1	HI	9.52	9.6	6.88	8.73	8.39
1990	1	IA	6.88	5.73	3.76	5.6	5.49
1990	1	ID	4.77	4.66	2.55	5.84	3.9
1990	1	IL	7.97	7.08	5.17	6.2	6.74
1990	1	IN	6.3	5.97	4.16	7.24	5.35
1990	1	KS	7.75	7.03	5.82	7.31	6.97
1990	1	KY	5.32	5.21	3.64	4.47	4.43
1990	1	LA	7.06	7.13	4.48	6.14	6.03
1990	1	MA	8.79	7.34	7.03	9.21	7.91
1990	1	MD	5.9	5.39	4.18	7.21	5.25
1990	1	ME	9.09	8.74	6.86	9.86	8.22
1990	1	MI	7.63	7.89	5.76	8.72	7.02
1990	1	MN	6.24	5.49	3.82	5.98	4.98
1990	1	MO	6.34	5.92	4.7	6.58	5.85
1990	1	MS	6.35	7.15	4.48	7.82	5.87
1990	1	MT	5.8	4.87	3.02	3.68	4.29
1990	1	NC	7.32	6.29	4.67	6.61	6.33
1990	1	ND	5.6	6	4.71	3.35	5.39
1990	1	NE	5.68	5.73	4.36	5.8	5.4
1990	1	NH	10.09	9.17	7.63	8.74	9.07
1990	1	NJ	9.44	8.33	7.08	14.28	8.52
1990	1	NM	8.43	7.75	5.02	5.69	6.95
1990	1	NV	5.77	6.11	4.03	4.25	5.16
1990	1	NY	10.71	9.58	5.13	6.94	8.73
1990	1	OH	6.95	6.89	3.98	6.01	5.59
1990	1	OK	5.61	5.13	3.41	4.66	4.87
1990	1	OR	4.62	4.86	3.3	5.53	4.29
1990	1	PA	8.33	7.53	5.85	9.9	7.32
1990	1	RI	8.72	7.93	7.46	7.26	8.16
