Year	Month	State	Rev_RES	Rev_COM	Rev_IND	Rev_OTH	Rev_ALL
1990	1	AK	17.48	15.82	3.64	1.92	38.85
1990	1	AL	123.33	54.5	87.76	2.85	268.44
1990	1	AR	72.51	30.97	37.05	3.12	143.64
1990	1	AZ	109.33	82.69	43.27	7.83	243.13
1990	1	CA	597.16	508.52	268.76	32.1	1406.54
1990	1	CO	71.32	65.13	24.49	4.05	165
1990	1	CT	112.08	82.88	36	4.06	235.02
1990	1	DC	9.48	23.53	9.52	1.6	44.13
1990	1	DE	23.08	13.25	10.92	0.42	47.68
1990	1	FL	495.13	253.3	66.14	22.06	836.62
1990	1	GA	179.51	128.19	93.89	8.28	409.86
1990	1	HI	19.67	16.17	20	0.42	56.27
1990	1	IA	72.42	33.8	35.1	4.04	145.36
1990	1	ID	30.42	13.63	14.84	0.27	59.17
1990	1	IL	271.49	194.99	156.72	43.61	666.8
1990	1	IN	153.25	81.42	112.85	4.23	351.74
1990	1	KS	64.87	51.33	35.81	2.17	154.18
1990	1	KY	94.39	41.02	100.58	9.1	245.08
1990	1	LA	127.58	77.38	89.12	15.72	309.79
1990	1	MA	155.45	124.66	59.1	10.62	349.83
1990	1	MD	137.74	52.08	69.58	4.45	263.85
1990	1	ME	39.99	21.75	26.87	1.5	90.11
1990	1	MI	200.23	140.83	154.91	11.16	507.13
1990	1	MN	96.3	39.83	79.28	3.89	219.31
1990	1	MO	136.96	91.4	49.55	4.71	282.62
1990	1	MS	73.09	36.91	42.89	4.2	157.09
1990	1	MT	22.48	11.69	16.63	1.66	52.46
1990	1	NC	290.3	131.09	109.36	10.73	541.48
1990	1	ND	20.99	10.97	7.28	1.4	40.64
1990	1	NE	36.88	24.64	14.79	5.15	81.46
1990	1	NH	40.02	17.45	22.53	1.16	81.16
1990	1	NJ	185.06	187.99	82.69	6.66	462.4
1990	1	NM	30.99	27.86	18.23	6.04	83.12
1990	1	NV	28.19	17.85	19.53	1.57	67.15
1990	1	NY	422.65	392.12	133.68	74.28	1022.73
1990	1	OH	286.5	176.22	224.28	21.01	708.01
1990	1	OK	84.7	48.03	30.62	7.4	170.75
1990	1	OR	82.59	47.83	40.42	2.62	173.46
1990	1	PA	380.61	212.02	224.28	14.12	831.04
1990	1	RI	22.98	18.37	8.67	1.3	51.32
1990	1	SC	142.1	60.32	76.26	3.38	282.07
1990	1	SD	20.19	8.07	6.34	1.03	35.64
1990	1	TN	203.25	63.94	140.4	5.47	413.06
1990	1	TX	487.79	306.05	269.19	37.62	1100.65
1990	1	UT	26.25	21.92	16.49	2.66	67.32
1990	1	VA	209.21	98.13	53.84	34.62	395.8
1990	1	VT	19.27	12.78	9.38	0.5	41.94
1990	1	WA	146.62	66.96	85.05	11.4	310.03
1990	1	WI	106.49	60.4	60.2	4.03	231.11
1990	1	WV	49.88	23.56	30.62	0.66	104.72
1990	1	WY	11	9.99	22.93	0.49	44.42
1990	2	AK	16.8	15.34	3.26	2.06	37.46
1990	2	AL	93.05	49.24	79.3	2.72	224.32
1990	2	AR	57.5	28.3	37.14	3.02	125.96
1990	2	AZ	100.81	75.78	38.43	7.94	222.96
1990	2	CA	564.41	536.64	281.42	31.71	1414.18
1990	2	CO	59.87	55.78	21.6	3.9	141.14
1990	2	CT	93.43	77.34	38.97	4.03	213.77
1990	2	DC	6.73	21.71	9.56	1.52	39.52
1990	2	DE	17.72	11.66	11.41	0.43	41.23
1990	2	FL	371.02	257.38	67.29	22.9	718.59
1990	2	GA	135.51	112.34	92.68	7.81	348.33
1990	2	HI	17.72	15.64	19.45	0.42	53.23
1990	2	IA	61.67	28.88	32.84	3.84	127.23
1990	2	ID	26.19	12.57	13.59	0.26	52.61
1990	2	IL	236.66	185.65	160.73	43.52	626.56
1990	2	IN	120.67	71.03	114.39	4.1	310.18
1990	2	KS	49.36	45.1	32.5	2.06	129.02
1990	2	KY	76.71	36.4	100.76	8.7	222.56
1990	2	LA	87	71.89	88.02	16.51	263.4
1990	2	MA	139.84	126.49	64.6	10.5	341.44
1990	2	MD	103.45	45.82	67.72	4.37	221.36
1990	2	ME	35.67	21.16	26.65	1.63	85.11
1990	2	MI	160.77	129.46	159.28	11.15	460.65
1990	2	MN	85.08	37.4	75.63	3.66	201.77
1990	2	MO	119.07	81.97	44.28	4.52	249.84
1990	2	MS	57.68	34	43.66	4.24	139.58
1990	2	MT	19.12	11.17	15.17	1.68	47.13
1990	2	NC	203.62	115.38	113.86	9.15	442.01
1990	2	ND	18.58	10.25	7.28	1.43	37.55
1990	2	NE	32.05	22.29	15.14	4.94	74.41
1990	2	NH	34.44	16.59	22.05	1.09	74.16
1990	2	NJ	150.06	177.23	86.36	6.46	420.1
1990	2	NM	26.56	26.34	17.39	5.66	75.95
1990	2	NV	24.54	17.94	19.62	1.75	63.86
1990	2	NY	388.48	376.1	139.82	74.04	978.44
1990	2	OH	252.31	169.51	222.99	21.4	666.21
