Year	Month	State	Sale_RES	Sale_COM	Sale_IND	Sale_OTH	Sale_ALL
1990	1	AK	181.75	178.26	41.61	14.82	416.44
1990	1	AL	2070.09	820.42	2099.55	53.95	5044.01
1990	1	AR	1026.32	474.99	782.49	47.6	2331.4
1990	1	AZ	1396.5	1081.79	809.8	151.06	3439.15
1990	1	CA	6168.01	6011.77	4454.66	869.56	17504.01
1990	1	CO	1046.8	1158.96	545.39	58.78	2809.94
1990	1	CT	1189.72	957.85	488.53	35.35	2671.44
1990	1	DC	168.77	447.25	237.96	29.48	883.46
1990	1	DE	313.56	216.55	251.25	4.44	785.79
1990	1	FL	6443.54	3758.27	1318.9	322.47	11843.18
1990	1	GA	2740.44	1833.05	2061.78	108.54	6743.8
1990	1	HI	206.58	168.39	290.73	4.82	670.52
1990	1	IA	1052.13	590.04	932.6	72.12	2646.89
1990	1	ID	637.62	292.3	580.88	4.69	1515.48
1990	1	IL	3406.45	2753.09	3028.47	703.41	9891.43
1990	1	IN	2432.95	1364.53	2714.38	58.37	6570.23
1990	1	KS	836.53	730.36	615.04	29.66	2211.6
1990	1	KY	1772.8	786.61	2764.59	203.71	5527.71
1990	1	LA	1808.04	1085.65	1987.99	256.1	5137.77
1990	1	MA	1767.55	1698.6	840.36	115.41	4421.93
1990	1	MD	2333.68	966.27	1662.86	61.66	5024.47
1990	1	ME	440.12	248.91	391.66	15.18	1095.86
1990	1	MI	2623.66	1785.5	2689.46	128	7226.62
1990	1	MN	1542.33	726.18	2073.34	64.95	4406.81
1990	1	MO	2161.98	1544.92	1053.16	71.52	4831.58
1990	1	MS	1150.32	516.2	956.43	53.68	2676.62
1990	1	MT	387.98	240.24	550.04	45.31	1223.55
1990	1	NC	3963.43	2084.73	2341.43	162.37	8551.96
1990	1	ND	374.45	182.77	154.54	41.94	753.7
1990	1	NE	648.87	430.05	339.44	88.89	1507.24
1990	1	NH	396.5	190.28	295.25	13.23	895.26
1990	1	NJ	1959.96	2255.65	1167.49	46.62	5429.73
1990	1	NM	367.43	359.43	363.04	106.11	1196
1990	1	NV	488.22	291.88	484.48	36.99	1301.57
1990	1	NY	3944.89	4094.62	2606.78	1069.75	11716.04
1990	1	OH	4121.14	2557.71	5635.32	349.54	12663.72
1990	1	OK	1510.02	936.09	897.9	158.8	3502.81
1990	1	OR	1786.28	984.86	1223.5	47.47	4042.11
1990	1	PA	4570.03	2815.19	3832.79	142.69	11360.7
