State,Pop,Year,Month
AK,546.01,1989,1
AL,4021.76,1989,1
AR,2341.4320000000002,1989,1
AZ,3614.58,1989,1
CA,29156.817000000003,1989,1
CO,3268.94,1989,1
CT,3276.509,1989,1
DC,622.857,1989,1
DE,656.8910000000001,1989,1
FL,12611.18,1989,1
GA,6397.638000000001,1989,1
HI,1092.29,1989,1
IA,2764.775,1989,1
ID,992.328,1989,1
IL,11385.826000000001,1989,1
IN,5512.095,1989,1
KS,2467.657,1989,1
KY,3669.585,1989,1
LA,4243.964,1989,1
MA,6002.848000000001,1989,1
MD,4717.375,1989,1
ME,1217.4,1989,1
MI,9233.866,1989,1
MN,4328.9490000000005,1989,1
MO,5085.130999999999,1989,1
MS,2568.864,1989,1
MT,797.957,1989,1
NC,6551.674,1989,1
ND,644.994,1989,1
NE,1571.557,1989,1
NH,1102.203,1989,1
NJ,7709.866999999999,1989,1
NM,1500.743,1989,1
NV,1134.994,1989,1
NY,17945.328,1989,1
OH,10806.48,1989,1
OK,3143.6929999999998,1989,1
OR,2784.716,1989,1
PA,11841.082,1989,1
RI,998.565,1989,1
SC,3449.5170000000003,1989,1
SD,695.238,1989,1
TN,4844.251,1989,1
TX,16771.447,1989,1
UT,1702.2820000000002,1989,1
VA,6107.396,1989,1
VT,556.536,1989,1
WA,4736.35,1989,1
WI,4846.377,1989,1
WV,1802.775,1989,1
WY,457.412,1989,1
AK,546.349,1989,2
AL,4024.258,1989,2
AR,2342.886,1989,2
AZ,3616.825,1989,2
CA,29174.929,1989,2
CO,3270.9709999999995,1989,2
CT,3278.5440000000003,1989,2
DC,623.244,1989,2
DE,657.299,1989,2
FL,12619.014,1989,2
GA,6401.611999999999,1989,2
HI,1092.968,1989,2
IA,2766.492,1989,2
ID,992.945,1989,2
IL,11392.898000000001,1989,2
IN,5515.519,1989,2
KS,2469.19,1989,2
KY,3671.865,1989,2
LA,4246.601,1989,2
MA,6006.576999999999,1989,2
MD,4720.306,1989,2
ME,1218.156,1989,2
MI,9239.601999999999,1989,2
MN,4331.638,1989,2
MO,5088.289000000001,1989,2
MS,2570.46,1989,2
MT,798.453,1989,2
NC,6555.744000000001,1989,2
ND,645.395,1989,2
NE,1572.5339999999999,1989,2
NH,1102.888,1989,2
NJ,7714.656,1989,2
NM,1501.6760000000002,1989,2
NV,1135.6989999999998,1989,2
NY,17956.476000000002,1989,2
OH,10813.192,1989,2
OK,3145.645,1989,2
OR,2786.446,1989,2
PA,11848.437,1989,2
RI,999.185,1989,2
SC,3451.66,1989,2
SD,695.67,1989,2
TN,4847.2609999999995,1989,2
TX,16781.865,1989,2
UT,1703.34,1989,2
VA,6111.19,1989,2
VT,556.882,1989,2
WA,4739.293,1989,2
WI,4849.387,1989,2
WV,1803.895,1989,2
WY,457.69599999999997,1989,2
AK,546.731,1989,3
AL,4027.067,1989,3
AR,2344.521,1989,3
AZ,3619.349,1989,3
CA,29195.29,1989,3
CO,3273.2529999999997,1989,3
CT,3280.8320000000003,1989,3
DC,623.679,1989,3
DE,657.758,1989,3
FL,12627.821000000002,1989,3
GA,6406.08,1989,3
HI,1093.731,1989,3
IA,2768.423,1989,3
ID,993.637,1989,3
IL,11400.85,1989,3
IN,5519.369000000001,1989,3
KS,2470.913,1989,3
KY,3674.427,1989,3
LA,4249.564,1989,3
MA,6010.769,1989,3
MD,4723.6,1989,3
ME,1219.006,1989,3
MI,9246.051,1989,3
MN,4334.661,1989,3
MO,5091.840999999999,1989,3
MS,2572.254,1989,3
MT,799.01,1989,3
NC,6560.319,1989,3
ND,645.845,1989,3
NE,1573.631,1989,3
NH,1103.657,1989,3
NJ,7720.04,1989,3
NM,1502.724,1989,3
NV,1136.492,1989,3
NY,17969.006999999998,1989,3
OH,10820.739,1989,3
OK,3147.841,1989,3
OR,2788.39,1989,3
PA,11856.706,1989,3
RI,999.883,1989,3
SC,3454.0690000000004,1989,3
SD,696.1560000000001,1989,3
TN,4850.644,1989,3
TX,16793.577,1989,3
UT,1704.529,1989,3
VA,6115.455,1989,3
VT,557.27,1989,3
WA,4742.6,1989,3
WI,4852.772,1989,3
WV,1805.154,1989,3
WY,458.015,1989,3
AK,547.1469999999999,1989,4
AL,4030.137,1989,4
AR,2346.308,1989,4
AZ,3622.1079999999997,1989,4
CA,29217.545,1989,4
CO,3275.7490000000003,1989,4
CT,3283.333,1989,4
DC,624.155,1989,4
DE,658.2589999999999,1989,4
FL,12637.447,1989,4
GA,6410.963000000001,1989,4
HI,1094.565,1989,4
IA,2770.533,1989,4
ID,994.395,1989,4
IL,11409.54,1989,4
IN,5523.576,1989,4
KS,2472.797,1989,4
KY,3677.228,1989,4
LA,4252.804,1989,4
MA,6015.351,1989,4
MD,4727.201,1989,4
ME,1219.935,1989,4
MI,9253.099,1989,4
MN,4337.965,1989,4
MO,5095.722,1989,4
MS,2574.214,1989,4
MT,799.6189999999999,1989,4
NC,6565.32,1989,4
ND,646.337,1989,4
NE,1574.8310000000001,1989,4
NH,1104.499,1989,4
NJ,7725.925,1989,4
NM,1503.869,1989,4
NV,1137.358,1989,4
NY,17982.705,1989,4
OH,10828.988000000001,1989,4
OK,3150.24,1989,4
OR,2790.5159999999996,1989,4
PA,11865.745,1989,4
RI,1000.645,1989,4
SC,3456.702,1989,4
SD,696.686,1989,4
TN,4854.340999999999,1989,4
TX,16806.379,1989,4
UT,1705.828,1989,4
VA,6120.116,1989,4
VT,557.695,1989,4
WA,4746.215,1989,4
WI,4856.471,1989,4
WV,1806.53,1989,4
WY,458.36400000000003,1989,4
AK,547.582,1989,5
AL,4033.337,1989,5
AR,2348.172,1989,5
AZ,3624.985,1989,5
CA,29240.747000000003,1989,5
CO,3278.35,1989,5
CT,3285.941,1989,5
DC,624.65,1989,5
DE,658.7819999999999,1989,5
FL,12647.483,1989,5
GA,6416.054,1989,5
HI,1095.434,1989,5
IA,2772.7329999999997,1989,5
ID,995.185,1989,5
IL,11418.601,1989,5
IN,5527.9619999999995,1989,5
KS,2474.76,1989,5
KY,3680.1479999999997,1989,5
LA,4256.181,1989,5
MA,6020.1269999999995,1989,5
MD,4730.955,1989,5
ME,1220.904,1989,5
MI,9260.447,1989,5
MN,4341.41,1989,5
MO,5099.769,1989,5
MS,2576.259,1989,5
MT,800.2539999999999,1989,5
NC,6570.534000000001,1989,5
ND,646.851,1989,5
NE,1576.0810000000001,1989,5
NH,1105.376,1989,5
NJ,7732.061,1989,5
NM,1505.0629999999999,1989,5
NV,1138.261,1989,5
NY,17996.985,1989,5
OH,10837.587,1989,5
OK,3152.742,1989,5
OR,2792.732,1989,5
PA,11875.167,1989,5
RI,1001.439,1989,5
SC,3459.447,1989,5
SD,697.2389999999999,1989,5
TN,4858.196,1989,5
TX,16819.725,1989,5
UT,1707.182,1989,5
VA,6124.976,1989,5
VT,558.138,1989,5
WA,4749.984,1989,5
WI,4860.3279999999995,1989,5
WV,1807.964,1989,5
WY,458.728,1989,5
AK,548.065,1989,6
AL,4036.897,1989,6
AR,2350.244,1989,6
AZ,3628.184,1989,6
CA,29266.554,1989,6
CO,3281.243,1989,6
CT,3288.841,1989,6
DC,625.202,1989,6
DE,659.363,1989,6
FL,12658.645,1989,6
GA,6421.717,1989,6
HI,1096.401,1989,6
IA,2775.1809999999996,1989,6
ID,996.063,1989,6
IL,11428.678,1989,6
IN,5532.840999999999,1989,6
KS,2476.944,1989,6
KY,3683.3959999999997,1989,6
LA,4259.937,1989,6
MA,6025.441,1989,6
MD,4735.13,1989,6
ME,1221.981,1989,6
MI,9268.62,1989,6
MN,4345.241,1989,6
MO,5104.269,1989,6
MS,2578.532,1989,6
MT,800.96,1989,6
NC,6576.331999999999,1989,6
ND,647.4209999999999,1989,6
NE,1577.4720000000002,1989,6
NH,1106.351,1989,6
NJ,7738.885,1989,6
NM,1506.392,1989,6
NV,1139.266,1989,6
NY,18012.869,1989,6
OH,10847.152,1989,6
OK,3155.5240000000003,1989,6
OR,2795.197,1989,6
PA,11885.648000000001,1989,6
RI,1002.323,1989,6
SC,3462.5,1989,6
SD,697.855,1989,6
TN,4862.484,1989,6
TX,16834.569,1989,6
UT,1708.6889999999999,1989,6
VA,6130.382,1989,6
VT,558.631,1989,6
WA,4754.177,1989,6
WI,4864.617,1989,6
WV,1809.56,1989,6
WY,459.13300000000004,1989,6
AK,548.575,1989,7
AL,4040.652,1989,7
AR,2352.43,1989,7
AZ,3631.559,1989,7
CA,29293.781000000003,1989,7
CO,3284.296,1989,7
CT,3291.9,1989,7
DC,625.783,1989,7
DE,659.977,1989,7
FL,12670.421999999999,1989,7
GA,6427.691,1989,7
HI,1097.421,1989,7
IA,2777.762,1989,7
ID,996.99,1989,7
IL,11439.311000000002,1989,7
IN,5537.988,1989,7
KS,2479.249,1989,7
KY,3686.823,1989,7
LA,4263.901,1989,7
MA,6031.045999999999,1989,7
MD,4739.535,1989,7
ME,1223.118,1989,7
MI,9277.243,1989,7
MN,4349.284000000001,1989,7
MO,5109.018,1989,7
MS,2580.931,1989,7
MT,801.705,1989,7
NC,6582.45,1989,7
ND,648.024,1989,7
NE,1578.94,1989,7
NH,1107.381,1989,7
NJ,7746.084,1989,7
NM,1507.793,1989,7
NV,1140.326,1989,7
NY,18029.626,1989,7
OH,10857.243,1989,7
OK,3158.46,1989,7
OR,2797.797,1989,7
PA,11896.705,1989,7
RI,1003.2560000000001,1989,7
SC,3465.7209999999995,1989,7
SD,698.5039999999999,1989,7
TN,4867.0070000000005,1989,7
TX,16850.231,1989,7
UT,1710.279,1989,7
VA,6136.085,1989,7
VT,559.15,1989,7
WA,4758.6,1989,7
WI,4869.143,1989,7
WV,1811.243,1989,7
WY,459.56,1989,7
AK,549.1,1989,8
AL,4044.522,1989,8
AR,2354.683,1989,8
AZ,3635.0370000000003,1989,8
CA,29321.837000000003,1989,8
CO,3287.441,1989,8
CT,3295.053,1989,8
DC,626.383,1989,8
DE,660.6089999999999,1989,8
FL,12682.556,1989,8
GA,6433.847,1989,8
HI,1098.472,1989,8
IA,2780.423,1989,8
ID,997.944,1989,8
IL,11450.266000000001,1989,8
IN,5543.2919999999995,1989,8
KS,2481.623,1989,8
KY,3690.3540000000003,1989,8
LA,4267.984,1989,8
MA,6036.821999999999,1989,8
MD,4744.075,1989,8
ME,1224.29,1989,8
MI,9286.128,1989,8
MN,4353.4490000000005,1989,8
MO,5113.911,1989,8
MS,2583.403,1989,8
MT,802.4730000000001,1989,8
NC,6588.755,1989,8
ND,648.644,1989,8
NE,1580.4520000000002,1989,8
NH,1108.441,1989,8
NJ,7753.503000000001,1989,8
NM,1509.237,1989,8
NV,1141.4180000000001,1989,8
NY,18046.894,1989,8
OH,10867.641000000001,1989,8
OK,3161.485,1989,8
OR,2800.4770000000003,1989,8
PA,11908.098999999998,1989,8
RI,1004.217,1989,8
SC,3469.04,1989,8
SD,699.173,1989,8
TN,4871.669,1989,8
TX,16866.369,1989,8
UT,1711.9170000000001,1989,8
VA,6141.9619999999995,1989,8
VT,559.686,1989,8
WA,4763.157,1989,8
WI,4873.806,1989,8
WV,1812.9779999999998,1989,8
WY,460.0,1989,8
AK,549.648,1989,9
AL,4048.555,1989,9
AR,2357.031,1989,9
AZ,3638.6620000000003,1989,9
CA,29351.076,1989,9
CO,3290.72,1989,9
CT,3298.3390000000004,1989,9
DC,627.007,1989,9
DE,661.2669999999999,1989,9
FL,12695.203000000001,1989,9
GA,6440.263000000001,1989,9
HI,1099.567,1989,9
IA,2783.195,1989,9
ID,998.94,1989,9
IL,11461.685,1989,9
IN,5548.82,1989,9
KS,2484.098,1989,9
KY,3694.034,1989,9
LA,4272.24,1989,9
MA,6042.842,1989,9
MD,4748.805,1989,9
