UR,Year,Month,State
7.7,1989,1,AK
7.2,1989,1,AL
7.2,1989,1,AR
5.9,1989,1,AZ
5.1,1989,1,CA
5.8,1989,1,CO
3.1,1989,1,CT
4.8,1989,1,DC
3.1,1989,1,DE
5.3,1989,1,FL
5.4,1989,1,GA
2.9,1989,1,HI
4.1,1989,1,IA
5.5,1989,1,ID
6.0,1989,1,IL
4.8,1989,1,IN
4.3,1989,1,KS
6.8,1989,1,KY
9.8,1989,1,LA
3.5,1989,1,MA
3.8,1989,1,MD
3.4,1989,1,ME
6.8,1989,1,MI
4.2,1989,1,MN
5.7,1989,1,MO
8.5,1989,1,MS
5.9,1989,1,MT
3.6,1989,1,NC
4.4,1989,1,ND
3.1,1989,1,NE
2.6,1989,1,NH
3.8,1989,1,NJ
6.8,1989,1,NM
4.8,1989,1,NV
4.7,1989,1,NY
5.4,1989,1,OH
6.0,1989,1,OK
5.5,1989,1,OR
4.6,1989,1,PA
3.3,1989,1,RI
4.2,1989,1,SC
4.0,1989,1,SD
5.3,1989,1,TN
6.9,1989,1,TX
4.5,1989,1,UT
3.8,1989,1,VA
3.1,1989,1,VT
5.9,1989,1,WA
4.2,1989,1,WI
9.0,1989,1,WV
6.3,1989,1,WY
7.4,1989,2,AK
7.1,1989,2,AL
7.2,1989,2,AR
5.7,1989,2,AZ
5.0,1989,2,CA
5.8,1989,2,CO
3.1,1989,2,CT
4.9,1989,2,DC
3.1,1989,2,DE
5.4,1989,2,FL
5.4,1989,2,GA
2.8,1989,2,HI
4.1,1989,2,IA
5.4,1989,2,ID
5.9,1989,2,IL
4.6,1989,2,IN
4.3,1989,2,KS
6.6,1989,2,KY
9.5,1989,2,LA
3.6,1989,2,MA
3.8,1989,2,MD
3.4,1989,2,ME
6.7,1989,2,MI
4.2,1989,2,MN
5.6,1989,2,MO
8.3,1989,2,MS
5.9,1989,2,MT
3.6,1989,2,NC
4.4,1989,2,ND
3.0,1989,2,NE
2.6,1989,2,NH
3.7,1989,2,NJ
6.7,1989,2,NM
4.8,1989,2,NV
4.7,1989,2,NY
5.2,1989,2,OH
5.9,1989,2,OK
5.5,1989,2,OR
4.5,1989,2,PA
3.4,1989,2,RI
4.2,1989,2,SC
4.0,1989,2,SD
5.1,1989,2,TN
6.8,1989,2,TX
4.5,1989,2,UT
3.8,1989,2,VA
3.1,1989,2,VT
5.9,1989,2,WA
4.2,1989,2,WI
8.9,1989,2,WV
6.3,1989,2,WY
7.1,1989,3,AK
7.1,1989,3,AL
7.2,1989,3,AR
5.5,1989,3,AZ
5.0,1989,3,CA
5.8,1989,3,CO
3.2,1989,3,CT
4.9,1989,3,DC
3.2,1989,3,DE
5.4,1989,3,FL
5.5,1989,3,GA
2.6,1989,3,HI
4.1,1989,3,IA
5.3,1989,3,ID
5.8,1989,3,IL
4.5,1989,3,IN
4.2,1989,3,KS
6.5,1989,3,KY
9.2,1989,3,LA
3.7,1989,3,MA
3.8,1989,3,MD
3.5,1989,3,ME
6.7,1989,3,MI
4.2,1989,3,MN
5.5,1989,3,MO
8.1,1989,3,MS
5.9,1989,3,MT
3.5,1989,3,NC
4.4,1989,3,ND
3.0,1989,3,NE
2.8,1989,3,NH
3.7,1989,3,NJ
6.7,1989,3,NM
4.8,1989,3,NV
4.8,1989,3,NY
5.2,1989,3,OH
5.8,1989,3,OK
5.5,1989,3,OR
4.5,1989,3,PA
3.5,1989,3,RI
4.3,1989,3,SC
4.0,1989,3,SD
5.0,1989,3,TN
6.7,1989,3,TX
4.5,1989,3,UT
3.8,1989,3,VA
3.1,1989,3,VT
5.9,1989,3,WA
4.3,1989,3,WI
8.9,1989,3,WV
6.2,1989,3,WY
6.9,1989,4,AK
7.1,1989,4,AL
7.1,1989,4,AR
5.4,1989,4,AZ
5.0,1989,4,CA
5.7,1989,4,CO
3.3,1989,4,CT
4.9,1989,4,DC
3.3,1989,4,DE
5.5,1989,4,FL
5.5,1989,4,GA
2.5,1989,4,HI
4.1,1989,4,IA
5.3,1989,4,ID
5.8,1989,4,IL
4.4,1989,4,IN
4.2,1989,4,KS
6.5,1989,4,KY
8.9,1989,4,LA
3.8,1989,4,MA
3.8,1989,4,MD
3.7,1989,4,ME
6.7,1989,4,MI
4.2,1989,4,MN
5.4,1989,4,MO
8.0,1989,4,MS
5.9,1989,4,MT
3.6,1989,4,NC
4.3,1989,4,ND
3.0,1989,4,NE
2.9,1989,4,NH
3.7,1989,4,NJ
6.6,1989,4,NM
4.7,1989,4,NV
4.9,1989,4,NY
5.2,1989,4,OH
5.8,1989,4,OK
5.5,1989,4,OR
4.5,1989,4,PA
3.6,1989,4,RI
4.3,1989,4,SC
4.0,1989,4,SD
4.9,1989,4,TN
6.7,1989,4,TX
4.5,1989,4,UT
3.8,1989,4,VA
3.2,1989,4,VT
5.9,1989,4,WA
4.4,1989,4,WI
8.8,1989,4,WV
6.2,1989,4,WY
6.8,1989,5,AK
7.1,1989,5,AL
7.1,1989,5,AR
5.4,1989,5,AZ
5.1,1989,5,CA
5.7,1989,5,CO
3.5,1989,5,CT
4.9,1989,5,DC
3.4,1989,5,DE
5.5,1989,5,FL
5.6,1989,5,GA
2.4,1989,5,HI
4.1,1989,5,IA
5.3,1989,5,ID
5.8,1989,5,IL
4.5,1989,5,IN
4.1,1989,5,KS
6.5,1989,5,KY
8.5,1989,5,LA
3.9,1989,5,MA
3.9,1989,5,MD
3.9,1989,5,ME
6.8,1989,5,MI
4.3,1989,5,MN
5.4,1989,5,MO
7.8,1989,5,MS
5.9,1989,5,MT
3.6,1989,5,NC
4.3,1989,5,ND
3.0,1989,5,NE
3.1,1989,5,NH
3.8,1989,5,NJ
6.6,1989,5,NM
4.7,1989,5,NV
4.9,1989,5,NY
5.3,1989,5,OH
5.7,1989,5,OK
5.5,1989,5,OR
4.5,1989,5,PA
3.7,1989,5,RI
4.4,1989,5,SC
4.1,1989,5,SD
4.9,1989,5,TN
6.7,1989,5,TX
4.5,1989,5,UT
3.8,1989,5,VA
3.3,1989,5,VT
5.9,1989,5,WA
4.4,1989,5,WI
8.8,1989,5,WV
6.2,1989,5,WY
6.7,1989,6,AK
7.2,1989,6,AL
7.0,1989,6,AR
5.4,1989,6,AZ
5.1,1989,6,CA
5.6,1989,6,CO
3.6,1989,6,CT
4.8,1989,6,DC
3.6,1989,6,DE
5.6,1989,6,FL
5.6,1989,6,GA
2.4,1989,6,HI
4.2,1989,6,IA
5.2,1989,6,ID
5.8,1989,6,IL
4.6,1989,6,IN
4.1,1989,6,KS
6.5,1989,6,KY
8.2,1989,6,LA
4.0,1989,6,MA
3.9,1989,6,MD
4.1,1989,6,ME
7.0,1989,6,MI
4.3,1989,6,MN
5.4,1989,6,MO
7.7,1989,6,MS
5.8,1989,6,MT
3.6,1989,6,NC
4.3,1989,6,ND
3.0,1989,6,NE
3.3,1989,6,NH
4.0,1989,6,NJ
6.7,1989,6,NM
4.7,1989,6,NV
4.9,1989,6,NY
5.4,1989,6,OH
5.7,1989,6,OK
5.4,1989,6,OR
4.6,1989,6,PA
3.9,1989,6,RI
4.5,1989,6,SC
4.1,1989,6,SD
5.0,1989,6,TN
6.7,1989,6,TX
4.6,1989,6,UT
3.9,1989,6,VA
3.5,1989,6,VT
6.0,1989,6,WA
4.4,1989,6,WI
8.7,1989,6,WV
6.2,1989,6,WY
6.7,1989,7,AK
7.2,1989,7,AL
7.0,1989,7,AR
5.3,1989,7,AZ
5.2,1989,7,CA
5.6,1989,7,CO
3.8,1989,7,CT
4.8,1989,7,DC
3.7,1989,7,DE
5.6,1989,7,FL
5.6,1989,7,GA
2.4,1989,7,HI
4.3,1989,7,IA
5.2,1989,7,ID
5.9,1989,7,IL
4.8,1989,7,IN
4.2,1989,7,KS
6.4,1989,7,KY
7.8,1989,7,LA
4.2,1989,7,MA
3.9,1989,7,MD
4.3,1989,7,ME
7.2,1989,7,MI
4.4,1989,7,MN
5.5,1989,7,MO
7.6,1989,7,MS
5.8,1989,7,MT
3.6,1989,7,NC
4.3,1989,7,ND
3.0,1989,7,NE
3.5,1989,7,NH
4.1,1989,7,NJ
6.7,1989,7,NM
4.7,1989,7,NV
5.0,1989,7,NY
5.5,1989,7,OH
5.6,1989,7,OK
5.4,1989,7,OR
4.7,1989,7,PA
4.1,1989,7,RI
4.7,1989,7,SC
4.1,1989,7,SD
5.1,1989,7,TN
6.7,1989,7,TX
4.6,1989,7,UT
3.9,1989,7,VA
3.6,1989,7,VT
6.0,1989,7,WA
4.4,1989,7,WI
8.7,1989,7,WV
6.2,1989,7,WY
6.8,1989,8,AK
7.1,1989,8,AL
6.9,1989,8,AR
5.2,1989,8,AZ
5.2,1989,8,CA
5.6,1989,8,CO
3.9,1989,8,CT
4.8,1989,8,DC
3.7,1989,8,DE
5.7,1989,8,FL
5.6,1989,8,GA
2.4,1989,8,HI
4.3,1989,8,IA
5.3,1989,8,ID
6.1,1989,8,IL
5.0,1989,8,IN
4.2,1989,8,KS
6.3,1989,8,KY
7.4,1989,8,LA
4.3,1989,8,MA
3.8,1989,8,MD
4.4,1989,8,ME
7.4,1989,8,MI
4.4,1989,8,MN
5.6,1989,8,MO
7.6,1989,8,MS
5.8,1989,8,MT
3.6,1989,8,NC
4.3,1989,8,ND
2.9,1989,8,NE
3.7,1989,8,NH
4.3,1989,8,NJ
6.8,1989,8,NM
4.7,1989,8,NV
5.1,1989,8,NY
5.7,1989,8,OH
5.5,1989,8,OK
5.4,1989,8,OR
4.7,1989,8,PA
4.3,1989,8,RI
4.9,1989,8,SC
4.1,1989,8,SD
5.1,1989,8,TN
6.7,1989,8,TX
4.6,1989,8,UT
4.0,1989,8,VA
3.8,1989,8,VT
6.0,1989,8,WA
4.4,1989,8,WI
8.6,1989,8,WV
6.2,1989,8,WY
6.9,1989,9,AK
7.0,1989,9,AL
6.8,1989,9,AR
5.2,1989,9,AZ
5.2,1989,9,CA
5.6,1989,9,CO
4.1,1989,9,CT
4.8,1989,9,DC
3.7,1989,9,DE
5.7,1989,9,FL
5.6,1989,9,GA
2.4,1989,9,HI
4.3,1989,9,IA
5.3,1989,9,ID
6.2,1989,9,IL
5.1,1989,9,IN
4.2,1989,9,KS
6.2,1989,9,KY
7.0,1989,9,LA
4.5,1989,9,MA
3.8,1989,9,MD
4.4,1989,9,ME
7.5,1989,9,MI
4.4,1989,9,MN
5.6,1989,9,MO
7.6,1989,9,MS
5.7,1989,9,MT
3.5,1989,9,NC
4.3,1989,9,ND
2.9,1989,9,NE
3.9,1989,9,NH
4.4,1989,9,NJ
6.8,1989,9,NM
4.7,1989,9,NV
5.1,1989,9,NY
5.9,1989,9,OH
5.5,1989,9,OK
5.4,1989,9,OR
4.8,1989,9,PA
4.6,1989,9,RI
5.0,1989,9,SC
4.0,1989,9,SD
5.2,1989,9,TN
6.6,1989,9,TX
4.6,1989,9,UT
4.0,1989,9,VA
3.9,1989,9,VT
5.9,1989,9,WA
4.4,1989,9,WI
